"ï..Episode.Date","Case.Count","X","X.1"
"1/1/21",499,NA,NA
"12/31/20",888,NA,NA
"12/30/20",998,NA,NA
"12/29/20",895,NA,NA
"12/28/20",412,NA,NA
"12/27/20",572,NA,NA
"12/26/20",541,NA,NA
"12/25/20",616,NA,NA
"12/24/20",646,NA,NA
"12/23/20",629,NA,NA
"12/22/20",636,NA,NA
"12/21/20",611,NA,NA
"12/20/20",486,NA,NA
"12/19/20",665,NA,NA
"12/18/20",691,NA,NA
"12/17/20",737,NA,NA
"12/16/20",780,NA,NA
"12/15/20",711,NA,NA
"12/14/20",544,NA,NA
"12/13/20",456,NA,NA
"12/12/20",522,NA,NA
"12/11/20",469,NA,NA
"12/10/20",496,NA,NA
"12/9/20",517,NA,NA
"12/8/20",588,NA,NA
"12/7/20",601,NA,NA
"12/6/20",568,NA,NA
"12/5/20",504,NA,NA
"12/4/20",633,NA,NA
"12/3/20",396,NA,NA
"12/2/20",410,NA,NA
"12/1/20",727,NA,NA
"11/30/20",622,NA,NA
"11/29/20",463,NA,NA
"11/28/20",566,NA,NA
"11/27/20",494,NA,NA
"11/26/20",356,NA,NA
"11/25/20",445,NA,NA
"11/24/20",497,NA,NA
"11/23/20",336,NA,NA
"11/22/20",460,NA,NA
"11/21/20",298,NA,NA
"11/20/20",245,NA,NA
"11/19/20",298,NA,NA
"11/18/20",318,NA,NA
"11/17/20",402,NA,NA
"11/16/20",396,NA,NA
"11/15/20",326,NA,NA
"11/14/20",338,NA,NA
"11/13/20",404,NA,NA
"11/12/20",383,NA,NA
"11/11/20",424,NA,NA
"11/10/20",439,NA,NA
"11/9/20",515,NA,NA
"11/8/20",351,NA,NA
"11/7/20",432,NA,NA
"11/6/20",441,NA,NA
"11/5/20",471,NA,NA
"11/4/20",471,NA,NA
"11/3/20",485,NA,NA
"11/2/20",446,NA,NA
"11/1/20",363,NA,NA
"10/31/20",308,NA,NA
"10/30/20",312,NA,NA
"10/29/20",292,NA,NA
"10/28/20",336,NA,NA
"10/27/20",291,NA,NA
"10/26/20",337,NA,NA
"10/25/20",278,NA,NA
"10/24/20",267,NA,NA
"10/23/20",326,NA,NA
"10/22/20",332,NA,NA
"10/21/20",308,NA,NA
"10/20/20",419,NA,NA
"10/19/20",407,NA,NA
"10/18/20",285,NA,NA
"10/17/20",262,NA,NA
"10/16/20",279,NA,NA
"10/15/20",382,NA,NA
"10/14/20",297,NA,NA
"10/13/20",276,NA,NA
"10/12/20",238,NA,NA
"10/11/20",240,NA,NA
"10/10/20",273,NA,NA
"10/9/20",268,NA,NA
"10/8/20",271,NA,NA
"10/7/20",269,NA,NA
